type.name;cost;instance.name;os
On Demand;0.0063;t2.nano;LINUX
On Demand;0.013;t2.micro;LINUX
On Demand;0.02;t1.micro;LINUX
On Demand;0.025;t2.small;LINUX
On Demand;0.047;m1.small;LINUX
On Demand;0.05;t2.medium;LINUX
On Demand;0.073;m3.medium;LINUX
On Demand;0.095;m1.medium;LINUX
On Demand;0.101;t2.large;LINUX
On Demand;0.113;c4.large;LINUX
On Demand;0.119;m4.large;LINUX
On Demand;0.12;c3.large;LINUX
On Demand;0.146;m3.large;LINUX
On Demand;0.148;c1.medium;LINUX
On Demand;0.1482;r4.large;LINUX
On Demand;0.172;i3.large;LINUX
On Demand;0.185;r3.large;LINUX
On Demand;0.19;m1.large;LINUX
On Demand;0.202;t2.xlarge;LINUX
On Demand;0.226;c4.xlarge;LINUX
On Demand;0.238;m4.xlarge;LINUX
On Demand;0.239;c3.xlarge;LINUX
On Demand;0.275;m2.xlarge;LINUX
On Demand;0.293;m3.xlarge;LINUX
On Demand;0.2964;r4.xlarge;LINUX
On Demand;0.344;i3.xlarge;LINUX
On Demand;0.371;r3.xlarge;LINUX
On Demand;0.379;m1.xlarge;LINUX
On Demand;0.404;t2.2xlarge;LINUX
On Demand;0.453;c4.2xlarge;LINUX
On Demand;0.475;m4.2xlarge;LINUX
On Demand;0.478;c3.2xlarge;LINUX
On Demand;0.55;m2.2xlarge;LINUX
On Demand;0.585;m3.2xlarge;LINUX
On Demand;0.592;c1.xlarge;LINUX
On Demand;0.5928;r4.2xlarge;LINUX
On Demand;0.688;i3.2xlarge;LINUX
On Demand;0.702;g2.2xlarge;LINUX
On Demand;0.735;d2.xlarge;LINUX
On Demand;0.741;r3.2xlarge;LINUX
On Demand;0.905;c4.4xlarge;LINUX
On Demand;0.938;i2.xlarge;LINUX
On Demand;0.95;m4.4xlarge;LINUX
On Demand;0.956;c3.4xlarge;LINUX
On Demand;0.972;p2.xlarge;LINUX
On Demand;1.1;m2.4xlarge;LINUX
On Demand;1.1856;r4.4xlarge;LINUX
On Demand;1.376;i3.4xlarge;LINUX
On Demand;1.47;d2.2xlarge;LINUX
On Demand;1.482;r3.4xlarge;LINUX
On Demand;1.811;c4.8xlarge;LINUX
On Demand;1.876;i2.2xlarge;LINUX
On Demand;1.912;c3.8xlarge;LINUX
On Demand;2.25;cc2.8xlarge;LINUX
On Demand;2.36;cg1.4xlarge;LINUX
On Demand;2.3712;r4.8xlarge;LINUX
On Demand;2.377;m4.10xlarge;LINUX
On Demand;2.752;i3.8xlarge;LINUX
On Demand;2.808;g2.8xlarge;LINUX
On Demand;2.94;d2.4xlarge;LINUX
On Demand;2.964;r3.8xlarge;LINUX
On Demand;3.1;hi1.4xlarge;LINUX
On Demand;3.75;cr1.8xlarge;LINUX
On Demand;3.751;i2.4xlarge;LINUX
On Demand;3.803;m4.16xlarge;LINUX
On Demand;4.7424;r4.16xlarge;LINUX
On Demand;4.9;hs1.8xlarge;LINUX
On Demand;5.504;i3.16xlarge;LINUX
On Demand;5.88;d2.8xlarge;LINUX
On Demand;7.502;i2.8xlarge;LINUX
On Demand;7.776;p2.8xlarge;LINUX
On Demand;8.003;x1.16xlarge;LINUX
On Demand;15.552;p2.16xlarge;LINUX
On Demand;16.006;x1.32xlarge;LINUX
Reserved 1y;0.005;t2.nano;LINUX
Reserved 1y;0.01;t2.micro;LINUX
Reserved 1y;0.016;t1.micro;LINUX
Reserved 1y;0.02;t2.small;LINUX
Reserved 1y;0.034;m1.small;LINUX
Reserved 1y;0.04;t2.medium;LINUX
Reserved 1y;0.055;m3.medium;LINUX
Reserved 1y;0.068;m1.medium;LINUX
Reserved 1y;0.08;t2.large;LINUX
Reserved 1y;0.087;c4.large;LINUX
Reserved 1y;0.09;m4.large;LINUX
Reserved 1y;0.09;c3.large;LINUX
Reserved 1y;0.11;m3.large;LINUX
Reserved 1y;0.111;c1.medium;LINUX
Reserved 1y;0.104;r4.large;LINUX
Reserved 1y;0.131;i3.large;LINUX
Reserved 1y;0.136;r3.large;LINUX
Reserved 1y;0.136;m1.large;LINUX
Reserved 1y;0.16;t2.xlarge;LINUX
Reserved 1y;0.173;c4.xlarge;LINUX
Reserved 1y;0.18;m4.xlarge;LINUX
Reserved 1y;0.18;c3.xlarge;LINUX
Reserved 1y;0.134;m2.xlarge;LINUX
Reserved 1y;0.22;m3.xlarge;LINUX
Reserved 1y;0.208;r4.xlarge;LINUX
Reserved 1y;0.262;i3.xlarge;LINUX
Reserved 1y;0.272;r3.xlarge;LINUX
Reserved 1y;0.272;m1.xlarge;LINUX
Reserved 1y;0.321;t2.2xlarge;LINUX
Reserved 1y;0.345;c4.2xlarge;LINUX
Reserved 1y;0.36;m4.2xlarge;LINUX
Reserved 1y;0.36;c3.2xlarge;LINUX
Reserved 1y;0.268;m2.2xlarge;LINUX
Reserved 1y;0.441;m3.2xlarge;LINUX
Reserved 1y;0.444;c1.xlarge;LINUX
Reserved 1y;0.416;r4.2xlarge;LINUX
Reserved 1y;0.523;i3.2xlarge;LINUX
Reserved 1y;0.514;g2.2xlarge;LINUX
Reserved 1y;0.447;d2.xlarge;LINUX
